ID,x,y
2909,3,840
2910,3,860
2911,8,663
2912,21,781
2913,21,5916
2914,23,4657
2915,25,873
2916,27,5338
2917,28,5100
2918,45,786
2919,48,404
2920,49,877
2921,50,895
2922,53,4979
2923,54,4185
2924,57,541
2925,62,5572
2926,74,6230
2927,79,903
2928,81,741
2929,82,6002
2930,102,919
2931,103,3693
2932,107,5855
2933,118,5197
2934,122,5689
2935,126,6030
2936,127,6106
2937,137,5685
2938,141,952
2939,157,3697
2940,160,6232
2941,179,6202
2942,194,5751
2943,200,6176
2944,201,4975
2945,217,5618
2946,219,484
2947,243,5464
2948,245,6462
2949,251,6377
2950,277,5044
2951,305,1121
2952,314,267
2953,321,532
2954,329,562
2955,333,6012
2956,350,6421
2957,355,5397
2958,365,6384
2959,386,4373
2960,409,1402
2961,440,1545
2962,448,1588
2963,450,5599
2964,456,5187
2965,457,4022
2966,458,194
2967,458,4468
2968,468,1422
2969,470,1805
2970,474,2095
2971,484,1577
2972,488,334
2973,495,1093
2974,498,4220
2975,502,2520
2976,516,1495
2977,522,6043
2978,528,1242
2979,529,5816
2980,529,6433
2981,531,6219
2982,538,3146
2983,539,6465
2984,540,1458
2985,551,2107
2986,555,1272
2987,560,6026
2988,568,1421
2989,586,2301
2990,589,5614
2991,590,434
2992,594,2826
2993,595,258
2994,595,6339
2995,616,4555
2996,619,751
2997,626,428
2998,630,4866
2999,633,5484
3000,635,5601
3001,642,450
3002,643,2750
3003,647,2280
3004,649,1476
3005,655,800
3006,655,3709
3007,661,329
3008,661,5819
3009,670,787
3010,675,5458
3011,681,3368
3012,685,5438
3013,685,5591
3014,686,1819
3015,689,4469
3016,692,1587
3017,701,342
3018,704,2467
3019,706,4209
3020,710,4267
3021,715,1633
3022,716,3785
3023,720,3033
3024,721,5445
3025,723,6136
3026,725,4973
3027,732,73
3028,732,3805
3029,733,988
3030,733,4364
3031,747,5447
3032,749,5638
3033,753,586
3034,755,771
3035,758,5836
3036,761,1012
3037,761,5093
3038,762,3710
3039,764,322
3040,771,551
3041,774,4967
3042,783,5512
3043,786,5394
3044,788,3711
3045,790,1250
3046,790,1932
3047,791,2890
3048,792,2859
3049,795,5634
3050,796,113
3051,806,1825
3052,806,1861
3053,807,938
3054,810,5113
3055,811,136
3056,811,6074
3057,818,1764
3058,818,2391
3059,823,2246
3060,823,4435
3061,827,4078
3062,828,1491
3063,830,5231
3064,839,5430
3065,843,2744
3066,845,5282
3067,850,4607
3068,850,5476
3069,858,540
3070,860,995
3071,861,3008
3072,866,6023
3073,867,720
3074,867,1846
3075,868,4897
3076,872,1123
3077,873,1101
3078,876,260
3079,877,3611
3080,891,2886
3081,911,5446
3082,914,4506
3083,925,4999
3084,926,827
3085,926,2143
3086,927,1187
3087,929,4701
3088,934,4279
3089,944,4226
3090,947,6473
3091,948,1525
3092,965,2742
3093,970,1551
3094,970,6260
3095,973,5587
3096,974,864
3097,976,5861
3098,978,1056
3099,980,232
3100,981,4940
3101,981,5266
3102,984,1912
3103,985,6445
3104,1006,5860
3105,1007,6163
3106,1017,1433
3107,1026,3631
3108,1031,951
3109,1031,1130
3110,1034,6000
3111,1036,3885
3112,1038,2019
3113,1038,5113
3114,1041,6153
3115,1048,4978
3116,1049,3837
3117,1050,1405
3118,1050,6168
3119,1052,520
3120,1055,1214
3121,1065,2634
3122,1084,4986
3123,1088,3433
3124,1091,1679
3125,1091,2022
3126,1091,2049
3127,1091,2527
3128,1093,3582
3129,1096,1235
3130,1098,5227
3131,1100,2371
3132,1100,3965
3133,1102,2576
3134,1112,6350
3135,1113,1702
3136,1114,3359
3137,1114,3921
3138,1117,3210
3139,1121,1634
3140,1126,2110
3141,1126,6021
3142,1127,3311
3143,1128,2365
3144,1129,1188
3145,1141,1395
3146,1144,5602
3147,1148,2825
3148,1148,5227
3149,1156,1772
3150,1157,775
3151,1159,3819
3152,1164,4605
3153,1173,5391
3154,1173,6301
3155,1175,6233
3156,1190,5495
3157,1191,1105
3158,1191,1578
3159,1191,1633
3160,1191,4258
